census,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,tot,population
170310703001026,1948.0,1473.0,994.0,492.0,290.0,162.0,153.0,156.0,125.0,138.0,385.0,1498.0,7814.0,17.0
170315608003005,3742.0,2900.0,2563.0,1383.0,712.0,436.0,397.0,313.0,306.0,353.0,812.0,2193.0,16110.0,48.0
170317113001015,3783.0,3238.0,3278.0,1718.0,873.0,574.0,246.0,249.0,267.0,398.0,958.0,2488.0,18070.0,44.0
170310508001014,965.0,614.0,819.0,226.0,307.0,131.0,114.0,71.0,101.0,106.0,210.0,349.0,4013.0,60.0
170316603021011,6544.0,6011.0,3707.0,2120.0,1139.0,635.0,677.0,583.0,603.0,907.0,2604.0,6263.0,31793.0,114.0
170318391001049,55055.0,44530.0,32308.0,18045.0,14089.0,6861.0,5774.0,5867.0,8323.0,13855.0,27229.0,54072.0,286008.0,513.0
170315201001026,1690.0,1413.0,1355.0,879.0,488.0,334.0,194.0,170.0,157.0,216.0,330.0,877.0,8103.0,33.0
170318404001014,3182.0,2812.0,2807.0,1251.0,706.0,437.0,283.0,219.0,246.0,290.0,555.0,1872.0,14660.0,43.0
170311906012007,5974.0,5785.0,3507.0,1847.0,1219.0,662.0,546.0,604.0,507.0,828.0,2226.0,5574.0,29279.0,97.0
170311302001025,4020.0,3707.0,2483.0,1528.0,1026.0,524.0,411.0,411.0,394.0,507.0,1460.0,3199.0,19670.0,50.0
170317302022020,3102.0,2558.0,1956.0,888.0,642.0,213.0,183.0,157.0,206.0,392.0,929.0,2851.0,14077.0,12.0
170314911005022,1123.0,1084.0,736.0,465.0,307.0,77.0,83.0,69.0,89.0,206.0,437.0,1007.0,5683.0,6.0
170314601001015,3030.0,2519.0,1852.0,1076.0,676.0,191.0,179.0,210.0,206.0,416.0,1306.0,3153.0,14814.0,52.0
170318408002003,5946.0,5695.0,5026.0,3156.0,1703.0,994.0,829.0,660.0,721.0,767.0,1227.0,3475.0,30199.0,186.0
170311504014001,2181.0,1879.0,1947.0,1270.0,732.0,372.0,124.0,82.0,103.0,159.0,372.0,1147.0,10368.0,22.0
170312411002007,10705.0,9411.0,8823.0,4871.0,2596.0,1768.0,1200.0,1278.0,1127.0,2225.0,2162.0,5069.0,51235.0,197.0
170318316005007,4247.0,3626.0,2838.0,1428.0,1056.0,454.0,449.0,427.0,438.0,587.0,1453.0,4119.0,21122.0,70.0
170316720002008,2819.0,2713.0,2759.0,1726.0,1054.0,550.0,248.0,246.0,211.0,254.0,753.0,1756.0,15089.0,60.0
170318346002011,2286.0,1994.0,1176.0,604.0,334.0,153.0,101.0,149.0,200.0,291.0,855.0,2383.0,10526.0,27.0
170318403002019,1357.0,740.0,910.0,427.0,233.0,147.0,108.0,92.0,107.0,109.0,188.0,670.0,5088.0,29.0
170314305001000,25745.0,21949.0,20082.0,12227.0,7613.0,4956.0,4089.0,3421.0,3821.0,3889.0,7031.0,16040.0,130863.0,178.0
170318325002024,7894.0,7271.0,4245.0,1838.0,1431.0,720.0,700.0,675.0,674.0,923.0,2163.0,7215.0,35749.0,70.0
170314402021017,8617.0,9143.0,8540.0,2842.0,1543.0,967.0,922.0,1485.0,1315.0,1247.0,3771.0,8028.0,48420.0,75.0
170316703002004,4952.0,4584.0,3400.0,1272.0,639.0,309.0,266.0,269.0,317.0,670.0,2681.0,5169.0,24528.0,27.0
170314908003024,3312.0,2912.0,2639.0,1759.0,879.0,593.0,344.0,381.0,280.0,362.0,845.0,1751.0,16057.0,59.0
170316403003013,3683.0,3504.0,2472.0,1239.0,674.0,412.0,320.0,328.0,305.0,353.0,892.0,2981.0,17163.0,40.0
170311913011035,2183.0,2045.0,1251.0,675.0,421.0,304.0,256.0,251.0,234.0,284.0,711.0,2020.0,10635.0,56.0
170310404023005,6638.0,5744.0,3982.0,1901.0,1516.0,1293.0,1173.0,1212.0,1184.0,1632.0,3105.0,7152.0,36532.0,177.0
170316606005010,5828.0,4922.0,3804.0,2188.0,1498.0,765.0,577.0,625.0,659.0,1097.0,2413.0,5395.0,29771.0,73.0
